,AHR,ASCL1,E2F1,E2F2,FHL2,FOXM1,FOXO1,GLIS3,HIF1A,HLF,HMGB2,HNF1B,IRF2,IRF8,ISL1,LMO2,MXI1,NEUROD1,NFKB1,NKX6-3,NR1D1,NR2F2,NR3C1,PITX1,PPARGC1B,SOX5,SRY,THRB,TSC22D1,YBX3,ZBTB17
89,,,,,,,,,TIMP2,,,,,,,,,,MYOZ1,,,,,,,,,,,,
90,,,,,,,,,WASF3,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,ZNF217,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,APH1A,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,MDK,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,KDM2A,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,TM9SF4,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,KDM5B,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,KDM1A,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,PDK1,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,HSPA1A,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,SLC11A1,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,SPP1,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,MSH6,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,EPOR,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,MMP9,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,CDKN1B,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,COX4I1,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,CTSD,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,ANGPT1,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,MLH1,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,MXI1,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,SLC9A1,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,BCL2L1,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,CDKN1C,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,ANGPTL4,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,CD151,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,SENP1,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,BNIP3L,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,GYS1,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,SEMA4D,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,PRDX2,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,ATRIP,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,ERRFI1,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,PGAM1,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,PKM,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,PPP1R10,,,,,,,,,,,,,,,,,,,,,,
