,AHR,ASCL1,E2F1,E2F2,FHL2,FOXM1,FOXO1,GLIS3,HIF1A,HLF,HMGB2,HNF1B,IRF2,IRF8,ISL1,LMO2,MXI1,NEUROD1,NFKB1,NKX6-3,NR1D1,NR2F2,NR3C1,PITX1,PPARGC1B,SOX5,SRY,THRB,TSC22D1,YBX3,ZBTB17
60,,,"{0.0054721357617073495, 'ATG10'}",,,,"{0.15824814132615966, 'TRAF2'}",,"{'GPER1', 0.5423715606766578}",,,,,,,,,,"{0.13606711717641137, 'GSK3B'}",,,,,,,,,,,,
61,,,"{0.30130706128350215, 'ATG4A'}",,,,"{'WNT4', 0.9639206747657475}",,"{0.3800347268926803, 'GAPDH'}",,,,,,,,,,"{0.046118537446420284, 'HAX1'}",,,,,,,,,,,,
62,,,"{0.38793177993452926, 'ATG7'}",,,,"{0.16045216378441074, 'SMURF1'}",,"{0.9305371608930754, 'NCOR2'}",,,,,,,,,,"{0.14648126798024602, 'HBEGF'}",,,,,,,,,,,,
63,,,"{'YBX3', 0.6565103229193692}",,,,"{'IDH1', 0.1845730165835289}",,"{0.41687721888141105, 'ATP5IF1'}",,,,,,,,,,"{0.9295619977811465, 'HDAC7'}",,,,,,,,,,,,
64,,,"{'DYRK1A', 0.14397661788757948}",,,,"{1.1521092797415342, 'FBXO32'}",,"{0.04374953215756282, 'DDX3X'}",,,,,,,,,,"{0.26849472368910887, 'IGF2BP2'}",,,,,,,,,,,,
65,,,"{2.1480223691145963, 'FGFR2'}",,,,"{0.6114520801214537, 'TGFB1'}",,"{0.7397656907775981, 'LRP1'}",,,,,,,,,,"{0.19901778143228235, 'KDM2A'}",,,,,,,,,,,,
66,,,"{0.34867952865179175, 'GAB2'}",,,,"{0.1260374330092802, 'ACACA'}",,"{0.0868881050151379, 'HSF1'}",,,,,,,,,,"{0.2853540120946699, 'LTC4S'}",,,,,,,,,,,,
67,,,"{0.7242709424998143, 'GABARAPL1'}",,,,"{0.6377360324823113, 'CASP9'}",,"{0.031162537185944462, 'SLC22A5'}",,,,,,,,,,"{0.8669829656280577, 'MICA'}",,,,,,,,,,,,
68,,,"{0.09474840797367913, 'MAP1LC3B'}",,,,"{0.08400848931599442, 'DDX5'}",,"{2.05971526126163, 'NDRG1'}",,,,,,,,,,"{0.3711304737823602, 'NCAM1'}",,,,,,,,,,,,
69,,,"{0.5306643039461191, 'MAPK1'}",,,,"{0.05009823361621777, 'PPA1'}",,"{0.34495262185306136, 'ATP13A2'}",,,,,,,,,,"{0.9305371608930754, 'NCOR2'}",,,,,,,,,,,,
70,,,"{0.046466849044637826, 'MCM7'}",,,,"{2.2432747402795292, 'GALNT14'}",,"{0.1535823501207128, 'XPA'}",,,,,,,,,,"{0.027162648869579028, 'NFKBIZ'}",,,,,,,,,,,,
71,,,"{0.22445489227084392, 'TOP1'}",,,,"{'NDNF', 0.07103770432644328}",,"{0.5135321482306912, 'LPIN1'}",,,,,,,,,,"{0.3300630501770152, 'NLRP2'}",,,,,,,,,,,,
